Overall,Age,Potential,Crossing,Finishing,HeadingAccuracy,ShortPassing,Dribbling,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Reactions,ShotPower,Stamina,Strength,LongShots,Aggression,Penalties,StandingTackle
73,33,73,65,61,67,75,75,71,71,75,67,65,69,73,67,75,71,79,65,73
74,25,78,76,67,55,79,73,76,80,76,69,66,69,84,75,57,78,71,76,61
80,23,85,74,63,65,81,82,33,73,81,81,83,77,67,82,66,54,69,37,75
74,29,74,72,66,64,76,76,64,75,75,65,63,75,74,74,73,68,75,60,69
75,33,75,73,69,60,74,75,73,66,74,77,76,70,76,77,56,71,66,69,65
78,33,78,79,57,60,82,74,85,78,79,64,59,70,85,71,72,77,54,75,62
75,29,75,70,78,48,76,76,73,73,75,67,69,74,71,85,67,76,75,74,68
84,25,85,81,77,36,85,89,74,82,88,81,79,79,76,80,61,80,60,58,49
78,38,78,79,77,65,82,74,79,82,80,55,34,80,85,55,73,82,72,84,62
74,27,75,75,54,54,72,74,62,69,74,87,75,73,66,81,63,54,76,59,68
85,36,85,60,40,81,80,67,61,80,79,52,54,82,71,68,82,65,76,60,86
75,31,75,71,72,66,74,74,76,72,76,80,73,73,79,73,68,74,73,75,63
73,33,73,66,64,55,74,74,55,72,74,68,66,70,84,76,77,76,81,63,71
78,32,78,69,70,70,79,75,71,78,78,50,47,79,77,77,78,74,72,54,78
74,33,74,78,63,66,80,73,81,78,76,52,55,72,79,72,70,77,70,78,61
74,22,82,65,64,69,75,73,70,81,77,72,71,72,83,83,76,74,70,68,69
73,29,73,80,35,73,78,74,76,77,69,69,67,66,67,77,70,74,79,67,70
82,24,87,68,70,51,85,83,41,88,84,72,57,82,75,81,65,81,60,49,67
78,30,78,79,62,67,75,80,34,66,76,83,89,71,68,87,74,57,74,58,73
79,28,79,80,75,40,81,78,71,81,79,75,75,83,68,86,64,69,47,71,49
73,27,73,77,66,60,75,74,76,74,77,73,68,69,75,76,62,70,60,78,62
75,28,75,82,55,67,73,71,77,72,73,75,77,67,72,84,76,59,71,66,72
78,24,80,78,69,66,75,81,69,67,79,81,80,74,79,71,65,69,51,68,57
74,32,74,56,75,80,75,73,76,74,74,48,40,79,78,91,85,75,74,64,62
77,24,81,80,49,60,69,75,69,64,77,78,81,76,76,79,50,68,66,53,74
80,27,80,61,51,78,76,64,62,73,73,64,65,78,83,64,84,70,80,59,80
76,28,76,73,76,52,72,81,77,75,82,83,78,70,73,84,56,78,53,76,50
78,24,84,72,41,71,76,71,39,66,75,87,85,75,65,93,73,59,87,75,73
75,27,75,72,65,50,80,75,76,77,80,69,67,74,74,76,60,72,62,68,68
77,23,84,65,61,71,73,70,62,70,70,69,63,72,74,82,90,64,76,59,77
69,29,69,69,60,70,70,75,50,69,73,83,67,65,75,65,59,71,72,58,71
80,29,80,74,74,54,83,82,74,77,83,69,61,80,75,82,60,76,59,77,52
73,23,79,69,66,50,74,70,75,72,73,66,68,70,74,90,62,73,74,73,67
76,27,77,67,65,58,77,71,67,72,76,68,67,73,63,90,68,68,76,57,73
76,32,76,78,41,58,75,75,64,72,73,80,75,73,65,80,68,66,76,68,75
79,29,79,79,48,71,76,76,38,73,76,84,86,74,68,90,70,58,75,47,75
77,22,83,67,70,59,80,76,47,78,80,74,39,69,81,83,63,76,78,63,76
77,27,78,69,72,57,79,76,55,76,78,66,63,78,78,78,76,71,75,50,70
75,28,75,71,68,64,72,78,37,61,75,84,84,73,78,78,75,61,70,67,70
81,36,81,69,84,75,76,80,72,71,78,73,74,76,85,64,70,75,75,85,39
78,29,78,80,62,74,78,74,45,69,79,69,68,80,76,81,72,63,76,48,77
80,28,80,78,59,64,76,76,33,70,71,79,78,77,73,92,72,65,88,45,77
74,24,81,76,58,58,72,75,66,70,74,79,83,67,82,89,70,65,70,55,72
74,30,74,74,68,57,77,65,78,74,74,60,54,75,71,87,67,77,75,64,72
81,33,85,80,75,61,89,80,82,86,86,69,67,70,75,64,60,78,71,78,47
75,32,75,74,63,70,78,75,71,75,79,60,57,68,78,73,80,72,73,71,70
78,31,78,78,55,67,76,74,65,75,77,67,53,80,69,78,74,61,74,65,78
79,31,79,79,73,59,84,76,78,81,79,55,41,77,77,61,66,77,82,73,76
73,33,73,62,74,69,76,72,74,72,73,64,72,69,78,68,78,77,70,69,73
82,23,89,72,48,81,77,70,40,70,73,81,84,83,62,85,80,42,82,60,83
74,31,74,72,69,45,77,72,77,76,76,61,55,71,78,66,68,74,84,75,70
79,26,80,75,79,51,77,81,70,69,79,81,75,82,78,82,64,75,67,71,44
77,38,77,80,66,43,84,77,80,85,81,54,36,70,77,51,64,76,87,85,65
78,26,79,78,51,60,77,79,71,66,80,83,78,75,80,70,57,77,69,55,77
75,30,75,74,66,54,81,74,67,78,77,73,70,70,73,79,70,71,69,57,70
81,35,81,72,83,79,75,76,70,69,81,71,66,78,84,72,91,79,83,77,41
74,36,74,77,57,74,77,69,69,69,75,62,67,71,82,68,70,72,89,57,77
80,23,84,77,75,60,80,84,66,63,82,87,84,78,84,74,75,81,50,68,28
72,32,72,73,69,55,77,69,76,76,69,65,57,67,73,68,65,76,74,75,68
74,23,79,71,61,68,72,74,61,70,73,85,79,73,68,73,62,66,81,53,68
75,25,80,62,72,78,75,80,51,73,80,58,64,77,76,74,79,67,75,57,70
73,24,77,68,59,61,75,74,60,71,73,77,73,73,69,82,65,67,75,61,69
75,33,75,60,74,92,78,66,46,67,80,34,37,81,75,82,90,64,88,64,76
76,29,76,70,54,65,75,75,64,69,76,78,75,74,76,75,57,70,75,60,76
72,26,74,74,64,45,71,68,75,69,70,78,77,69,82,86,73,69,68,59,66
78,27,78,74,70,62,82,81,67,78,80,68,67,77,76,74,62,78,66,56,67
79,21,79,78,45,60,76,76,49,59,74,90,89,80,78,76,44,68,73,49,77
80,27,81,76,50,58,75,81,30,65,79,81,83,79,74,84,67,60,81,38,79
81,25,85,79,73,54,82,84,65,79,85,77,69,79,81,80,71,78,38,54,47
76,28,76,80,58,62,75,73,60,75,75,74,76,74,79,72,66,72,74,64,73
82,25,84,73,64,84,74,71,35,65,74,76,84,80,66,94,89,54,83,48,79
79,21,84,76,48,60,80,76,44,70,80,85,84,78,64,86,68,49,78,42,76
78,26,82,70,68,76,81,76,62,79,80,58,53,76,80,81,78,73,75,58,77
75,33,75,77,65,47,78,75,69,74,78,55,60,74,74,67,59,76,64,58,68
73,33,73,68,69,60,74,69,67,71,71,69,64,75,72,76,71,72,71,64,72
75,31,75,73,58,60,76,72,53,74,76,65,65,74,81,67,60,74,81,65,76
81,35,81,61,62,75,84,70,68,83,83,54,55,77,77,67,76,75,83,57,77
73,35,73,66,62,73,71,68,60,74,72,61,68,69,84,81,83,69,92,68,70
78,30,78,80,49,76,72,73,68,75,74,67,72,75,76,85,77,67,79,64,78
76,28,76,78,59,61,73,76,40,64,78,79,85,75,80,75,59,74,81,54,74
70,23,77,64,68,63,71,70,70,70,72,82,81,70,74,83,70,72,72,65,62
76,28,76,74,70,61,72,77,59,66,77,89,87,75,66,83,74,61,75,61,65
73,24,78,62,67,56,76,77,59,71,76,82,85,69,72,78,69,66,67,61,70
75,22,83,65,67,51,75,83,70,73,76,86,77,71,77,78,70,75,69,72,59
72,28,72,72,60,48,70,73,75,71,72,79,81,69,83,77,45,81,69,72,60
75,21,82,62,68,71,77,79,58,68,79,76,73,74,65,85,66,62,73,54,74
80,27,80,68,84,71,67,81,62,65,81,90,87,80,80,84,76,72,68,80,40
77,24,80,74,65,41,80,83,67,77,83,66,55,75,76,75,61,72,75,55,70
78,21,85,76,81,64,79,81,74,69,79,82,77,77,78,74,72,79,61,75,41
71,33,71,69,60,61,74,68,65,70,75,75,81,66,77,84,72,72,73,55,70
72,27,75,67,48,64,73,70,74,73,70,73,64,74,78,84,56,72,84,81,66
74,23,81,70,66,51,76,79,74,72,76,76,70,73,76,80,52,69,66,72,68
81,25,82,73,77,62,74,83,65,65,80,92,93,81,76,76,54,75,64,73,35
76,23,81,82,50,58,75,74,75,73,76,77,73,67,65,77,54,72,65,66,72
77,30,77,79,58,74,80,74,42,75,79,63,68,73,76,65,78,67,80,43,81
77,28,78,68,66,63,78,69,52,77,77,66,66,72,79,77,71,63,85,64,76
74,26,74,71,54,64,74,64,65,62,68,77,82,71,82,86,81,72,75,52,71
72,32,72,66,72,74,69,67,50,69,71,65,64,72,74,78,76,66,86,70,59
86,32,86,62,67,68,87,81,68,85,86,40,43,86,61,78,72,54,81,60,82
77,28,77,78,66,58,72,76,54,63,76,86,84,75,75,89,64,65,67,42,72
78,37,78,82,62,41,82,66,89,87,83,54,62,80,79,81,70,83,81,70,46
80,25,83,74,73,61,75,80,67,66,81,89,89,76,78,82,64,73,62,76,39
73,28,73,78,56,53,68,73,61,64,78,86,84,68,79,79,70,65,72,58,72
73,36,73,76,67,79,73,73,72,73,72,61,62,73,76,52,74,72,61,74,68
73,28,73,75,62,49,73,74,73,70,74,75,74,73,72,68,44,70,68,67,68
74,35,74,74,49,59,74,74,67,70,77,68,68,67,74,62,67,75,71,59,74
84,25,87,69,81,76,79,82,58,55,84,93,89,87,85,83,65,77,63,78,20
74,32,74,76,61,68,78,77,68,74,79,69,63,73,77,64,67,72,65,68,69
74,32,74,74,62,62,78,73,73,77,76,59,54,71,74,52,61,70,80,71,74
76,29,77,65,60,81,72,66,66,73,71,57,59,74,77,71,78,73,73,75,78
82,23,86,74,79,57,73,86,79,66,82,93,93,80,79,75,61,78,55,71,25
70,29,70,75,59,68,73,70,75,70,72,69,66,66,78,65,68,76,67,73,70
73,28,73,67,72,59,71,72,69,69,71,76,79,69,69,81,59,75,55,69,75
72,31,72,71,65,54,76,72,78,73,74,69,74,66,81,66,71,75,72,69,66
75,23,83,63,65,68,79,73,45,76,77,74,75,73,72,88,67,69,86,51,78
80,35,80,78,55,72,77,73,52,70,77,62,68,82,74,69,64,61,77,61,83
75,34,75,74,51,55,70,71,62,69,69,80,75,72,78,74,69,73,85,69,74
73,26,75,73,64,52,74,68,76,72,74,55,57,71,77,90,66,77,65,60,71
74,25,74,72,53,69,76,71,57,76,69,72,74,79,58,82,71,61,75,71,69
76,27,77,79,55,56,74,73,70,75,75,75,61,73,69,87,65,59,67,62,76
75,32,75,71,75,53,72,77,76,68,78,82,85,76,83,70,63,80,75,73,55
73,26,73,70,68,59,72,76,65,70,77,80,74,73,81,71,70,72,57,55,70
77,30,77,67,80,62,74,75,44,68,73,89,90,77,80,81,67,71,75,68,59
77,27,78,71,61,55,73,74,41,69,74,89,88,75,68,84,73,57,77,46,74
84,28,84,69,77,49,92,85,79,90,91,61,59,74,78,75,64,76,29,56,58
74,23,81,73,70,62,76,76,65,74,76,75,67,76,71,76,62,74,68,70,61
76,28,76,72,75,68,77,75,74,72,78,68,74,76,82,82,76,79,66,72,45
75,24,80,66,68,67,78,72,68,76,76,65,67,72,73,83,67,66,73,58,71
78,27,79,75,70,49,84,81,70,79,80,74,74,81,74,65,55,72,47,63,58
78,19,88,74,45,67,71,72,59,68,75,82,88,76,80,81,69,63,67,45,76
81,33,81,79,80,63,83,82,69,80,84,65,64,84,81,59,73,79,58,91,36
76,25,82,67,60,58,77,74,47,76,76,73,71,71,73,83,82,68,75,52,73
79,25,82,59,65,65,84,76,46,82,79,67,52,82,48,85,68,61,83,52,82
77,33,77,75,65,47,84,68,82,80,79,64,40,72,79,69,65,75,72,69,70
75,22,84,68,67,49,76,79,64,78,78,79,81,72,66,69,39,64,59,66,68
82,29,82,86,73,52,89,77,87,90,90,63,62,79,84,59,52,85,46,67,57
74,34,74,69,63,66,79,68,78,77,75,51,46,71,77,77,71,73,70,78,69
74,21,74,42,65,73,76,64,71,77,70,70,74,82,82,78,70,77,66,70,76
73,32,73,76,40,66,73,71,73,72,70,67,75,73,74,73,75,66,68,64,73
68,29,68,66,59,60,68,70,69,68,69,75,79,63,78,81,81,64,74,71,68
75,24,81,75,70,51,74,78,38,65,75,85,79,72,70,72,66,73,71,71,68
75,31,75,76,73,68,67,79,58,66,75,77,77,74,78,84,76,72,79,66,56
73,28,73,74,48,59,73,73,68,72,71,75,73,70,78,74,70,71,65,67,71
76,31,76,84,67,45,74,77,73,72,77,72,68,74,73,75,60,67,73,60,62
72,31,72,65,68,58,73,72,68,67,75,78,78,71,67,79,68,68,64,72,61
73,26,75,77,56,69,69,70,68,72,72,69,74,68,74,82,68,64,67,65,71
83,25,86,78,53,82,74,65,39,63,76,77,77,85,62,76,77,51,88,42,85
82,26,85,71,42,79,78,66,55,77,75,73,79,82,65,77,81,46,83,45,84
75,26,76,77,69,64,73,76,47,66,74,83,82,67,75,90,71,59,58,65,69
87,21,91,82,83,38,87,92,65,70,90,85,78,85,73,77,68,65,44,62,39
79,27,80,59,82,74,71,79,57,62,77,77,84,78,85,78,84,76,87,72,46
75,29,75,62,66,66,78,72,52,75,78,55,66,72,77,83,75,66,84,54,74
73,25,76,63,78,65,68,73,69,60,70,91,86,71,75,75,57,73,70,60,40
83,32,83,78,85,67,81,84,71,66,85,81,80,83,76,69,70,84,57,72,22
76,32,76,63,59,58,74,69,59,75,72,74,76,76,68,92,68,60,81,56,75
79,31,79,63,56,74,80,64,45,76,73,68,63,78,75,82,76,70,84,52,79
75,30,75,75,71,68,73,71,63,64,77,83,86,69,78,80,70,65,75,66,58
73,23,81,57,67,73,77,76,39,78,76,79,83,62,78,84,78,73,63,55,66
74,28,74,63,63,58,74,80,52,71,75,78,81,68,69,72,71,69,67,59,76
76,30,76,80,72,58,72,74,61,74,77,73,79,75,81,71,67,82,62,64,58
77,34,77,87,61,72,70,69,63,72,69,64,79,73,75,82,81,65,78,60,75
77,31,77,63,54,75,75,69,60,70,75,67,69,72,76,90,83,68,82,62,78
83,23,87,73,46,51,76,80,45,58,76,82,88,83,70,81,72,46,78,44,87
73,34,73,71,68,72,73,72,67,71,72,72,76,67,70,72,75,69,71,60,71
73,29,73,77,66,52,71,74,74,74,75,69,64,74,76,68,60,71,60,72,68
79,26,79,74,73,55,80,80,70,72,80,85,86,77,72,73,66,73,70,60,45
81,26,83,75,75,64,81,85,67,78,86,86,81,81,70,70,46,70,45,72,40
74,29,74,82,43,58,74,71,85,66,74,68,71,72,79,71,73,59,66,61,75
82,30,82,71,84,69,80,88,78,55,83,87,90,84,81,73,72,84,50,89,24
75,30,75,66,62,54,75,73,63,70,75,75,69,70,73,79,74,66,82,59,75
77,34,77,83,62,62,80,70,80,85,81,35,37,76,84,62,78,75,75,70,62
76,23,82,60,60,55,75,74,55,73,74,76,75,75,68,83,73,60,83,50,74
79,29,79,77,51,69,75,74,54,72,77,76,78,80,56,80,67,50,80,56,78
77,25,77,67,72,64,85,84,67,83,85,85,79,80,75,75,74,79,54,55,52
81,26,82,77,79,57,76,85,79,66,81,88,88,77,81,77,68,78,43,85,34
74,28,74,68,50,68,78,73,50,74,75,72,70,75,83,78,69,78,86,44,78
77,27,78,78,55,63,75,82,48,69,78,77,82,74,75,78,67,71,65,49,75
78,26,79,79,70,57,74,81,72,71,80,84,79,79,83,78,60,76,74,71,33
78,22,85,66,76,48,78,84,57,67,80,85,80,76,72,76,63,69,65,71,53
77,27,77,73,70,69,73,84,58,67,80,78,76,77,80,74,62,81,71,70,48
77,29,77,71,56,62,75,72,77,77,71,69,69,81,73,76,85,72,77,67,76
75,26,75,76,58,60,73,78,62,70,76,86,83,70,69,85,64,66,64,66,65
73,27,73,71,60,70,81,77,54,79,79,77,76,74,75,40,68,60,68,62,70
73,32,73,65,61,70,72,75,56,71,75,61,63,74,64,80,83,63,78,61,75
78,24,82,77,74,68,81,82,76,75,82,63,70,76,81,76,72,80,71,69,54
78,33,78,79,57,75,78,70,59,67,79,74,72,75,75,63,64,64,85,56,77
75,27,75,68,67,46,74,82,70,72,79,84,66,75,69,75,46,70,74,63,61
76,29,76,64,60,53,80,71,55,78,75,63,56,76,77,80,70,69,85,54,71
73,33,73,73,73,65,72,81,73,64,75,78,77,76,81,57,62,72,78,84,50
81,25,84,73,80,71,78,88,54,60,86,87,87,79,83,68,74,76,54,80,33
79,26,80,83,39,65,79,77,44,69,80,71,76,77,79,71,79,65,75,50,78
80,30,80,74,83,74,73,76,57,64,75,91,90,81,81,80,77,72,72,72,29
78,33,78,76,46,60,84,80,76,86,85,45,55,80,84,55,69,84,64,76,72
81,25,81,40,56,83,67,60,58,58,64,68,74,78,74,76,79,61,86,62,85
74,38,74,80,69,71,80,77,82,68,81,51,48,69,77,67,66,74,61,74,58
78,26,79,71,69,51,73,85,60,55,78,93,93,74,77,88,48,69,60,66,51
70,29,70,75,60,48,67,74,74,66,68,77,76,70,75,82,64,73,62,70,65
76,22,81,80,68,45,77,78,68,69,78,81,81,75,62,83,59,72,67,41,65
72,32,72,67,55,51,74,73,63,71,77,78,73,71,75,88,81,61,83,61,69
77,29,77,77,56,57,73,77,56,64,74,84,89,73,64,85,72,59,62,50,72
75,27,76,69,68,57,78,74,77,77,78,67,69,72,71,81,61,73,61,72,65
76,31,76,69,75,68,82,74,69,67,80,48,51,75,78,73,80,76,80,72,83
72,28,72,72,66,66,66,70,57,59,70,69,73,71,76,85,86,71,81,58,71
84,34,84,73,84,40,84,88,82,72,88,90,80,80,80,66,37,81,59,79,40
75,27,75,66,75,70,72,76,60,62,74,78,73,75,78,78,70,73,77,74,52
75,38,75,72,75,73,76,82,67,56,84,73,68,77,70,68,54,60,78,75,39
76,22,83,74,68,51,75,75,65,72,78,81,72,70,77,84,71,76,55,62,49
78,32,78,71,64,78,80,63,62,77,76,62,53,78,68,77,77,65,70,69,81
71,27,71,82,50,65,74,58,76,77,69,44,62,67,85,66,72,72,66,63,68
73,31,73,78,70,80,75,73,43,74,74,64,64,72,78,66,82,70,80,51,74
76,31,76,76,59,62,73,73,64,67,77,72,70,74,73,69,64,70,77,48,75
73,31,73,63,65,70,73,67,47,73,70,72,72,70,81,77,66,77,61,65,74
75,25,77,70,71,74,71,73,39,65,70,89,92,75,79,81,77,68,80,62,52
79,25,82,77,43,80,75,68,51,76,77,68,69,76,71,79,76,53,69,51,79
75,29,75,73,75,65,77,79,69,70,75,82,81,70,80,66,81,72,70,70,40
77,37,77,77,71,57,81,77,77,74,82,65,66,72,73,70,66,75,86,73,48
82,34,82,70,87,81,75,82,77,75,87,63,62,84,80,66,62,84,61,84,36
77,25,77,69,40,71,78,74,60,74,76,66,78,74,82,67,79,71,84,40,79
79,27,79,80,79,56,80,79,79,79,80,87,74,73,76,68,52,78,58,69,48
75,26,77,67,58,68,69,70,72,65,72,78,80,71,77,86,67,70,74,34,72
77,30,77,69,78,65,75,82,63,63,78,86,83,80,81,63,58,73,83,74,40
76,26,77,74,50,56,70,72,57,69,73,77,73,70,67,90,71,62,72,49,76
75,34,75,70,65,73,78,70,70,79,79,32,36,80,73,60,75,72,77,74,71
74,34,74,73,62,60,78,74,72,81,78,48,53,76,81,58,74,80,76,71,73
75,28,75,66,72,58,73,78,84,70,77,88,81,72,85,64,45,80,67,65,44
77,28,77,75,75,63,75,79,70,58,78,80,78,75,82,72,66,81,68,77,39
72,27,73,68,70,55,73,73,73,71,74,60,56,72,80,73,73,72,70,70,70
75,24,81,68,59,65,78,76,57,76,77,54,59,74,70,85,75,71,67,52,75
75,30,75,66,71,63,76,73,50,70,74,73,75,75,68,92,73,72,65,57,76
75,20,85,74,74,71,77,79,68,74,81,69,75,71,72,83,72,71,57,58,59
79,28,79,77,49,60,77,76,33,70,75,81,76,76,70,92,66,45,83,38,76
81,24,86,81,76,58,76,83,70,69,81,85,87,79,84,74,68,84,64,69,34
79,31,79,71,58,78,77,71,47,74,75,62,59,79,74,73,76,71,77,52,82
74,28,74,75,62,55,72,72,64,69,73,90,91,66,80,71,71,61,73,60,72
74,30,74,71,65,64,75,74,64,75,77,62,63,73,75,65,61,74,77,56,74
82,28,82,78,74,46,77,86,56,62,85,93,94,83,75,77,40,71,47,59,47
79,29,79,75,77,47,74,83,78,70,78,88,90,73,81,72,61,70,48,56,49
73,26,74,70,66,60,79,72,77,76,77,69,64,70,80,63,61,78,74,52,69
77,23,84,69,64,62,78,75,63,77,78,69,65,80,76,73,66,76,74,44,75
72,25,75,69,61,55,73,75,62,72,76,82,70,66,66,77,58,62,71,59,68
70,33,70,70,60,65,70,72,70,61,73,80,79,70,78,72,57,74,65,68,68
71,31,71,60,59,63,76,69,80,73,70,49,61,68,75,69,77,74,88,67,74
73,33,73,65,45,58,77,75,52,71,74,69,61,74,77,77,69,72,82,46,78
78,30,78,74,70,67,76,84,78,74,82,75,71,75,78,70,67,72,51,79,41
75,24,80,70,61,50,79,77,65,79,78,71,65,73,66,68,61,65,78,61,72
75,33,75,74,69,64,81,80,66,75,81,70,64,73,72,34,60,68,71,70,62
76,36,76,72,58,64,79,75,69,78,78,41,37,77,70,76,59,63,77,62,75
73,26,75,70,65,55,78,72,66,74,73,74,67,65,75,68,62,72,76,69,72
72,26,74,71,71,77,72,68,63,69,70,61,54,78,71,94,58,69,72,67,63
72,31,72,68,59,58,68,65,70,65,66,80,81,70,71,86,71,68,69,58,67
78,27,79,67,68,65,82,81,73,80,82,68,69,76,81,65,76,80,74,65,60
76,31,76,74,68,49,78,74,73,73,78,74,68,73,70,73,64,75,67,62,63
75,35,75,47,57,52,75,70,59,72,71,77,77,72,72,92,71,57,88,62,74
73,25,76,71,71,59,74,73,67,68,75,76,75,68,70,82,72,73,57,68,59
71,28,71,65,65,34,73,70,66,68,73,84,82,70,75,82,48,74,60,64,68
74,34,74,62,58,64,75,72,53,73,72,72,65,69,75,72,74,77,82,52,75
73,26,73,77,54,62,71,75,46,66,70,88,83,71,75,72,84,65,74,53,72
76,32,76,78,52,71,74,72,46,73,73,67,65,74,72,78,71,68,76,49,77
74,36,74,86,46,60,78,72,76,77,77,67,69,72,72,68,66,62,66,50,73
75,22,82,79,77,61,76,74,81,75,77,73,68,70,74,68,63,80,51,74,54
75,30,75,75,59,60,76,72,48,71,78,80,78,79,69,83,74,57,75,50,74
82,21,90,77,81,73,80,84,60,78,81,87,78,81,79,73,70,76,45,66,24
76,22,84,70,70,41,77,78,74,75,80,80,75,72,69,74,50,80,57,55,67
74,35,74,80,67,60,79,75,87,77,81,40,34,69,83,55,56,82,65,76,54
79,24,82,75,55,65,76,71,39,68,76,77,80,75,63,87,77,61,75,46,77
73,33,73,75,66,62,77,70,79,76,76,55,49,70,73,72,63,71,69,71,67
81,23,85,74,40,74,73,73,33,70,74,77,82,77,67,79,79,52,83,45,85
77,26,80,74,73,66,79,82,48,76,79,80,76,76,72,72,66,71,72,61,62
73,27,73,80,59,65,70,74,63,71,75,72,72,70,78,63,78,73,70,46,71
76,34,76,68,80,83,73,70,57,65,71,66,69,74,81,81,84,72,77,90,49
73,33,73,65,58,68,74,75,70,72,76,60,65,70,72,79,77,71,71,68,70
69,30,69,74,63,56,67,75,73,62,74,73,78,65,78,72,73,72,65,66,62
74,25,79,74,61,52,76,77,75,74,75,68,68,69,73,72,75,74,69,61,69
73,35,73,71,65,55,74,71,71,70,76,74,67,73,70,70,54,71,66,71,64
81,27,81,80,76,40,79,83,77,76,84,84,82,81,78,77,41,82,63,70,29
76,33,76,75,73,59,80,74,79,69,77,73,73,74,73,78,68,74,71,81,52
73,30,73,67,60,58,79,78,72,75,76,62,67,66,82,65,65,73,79,74,74
71,33,71,67,71,67,69,75,67,66,73,74,70,71,75,59,33,69,69,76,65
77,27,77,65,62,69,81,77,67,80,81,53,55,75,79,70,77,68,77,55,68
75,31,75,68,73,49,77,73,66,74,75,67,66,73,69,87,74,73,63,76,66
75,26,75,72,76,71,74,76,64,66,77,74,75,73,75,69,64,74,72,64,57
74,28,74,63,71,70,76,72,55,73,73,74,70,73,66,93,82,64,80,56,65
71,31,71,72,62,56,70,70,72,71,70,75,73,71,70,69,72,68,71,66,68
77,30,77,67,61,64,76,72,52,74,75,69,52,76,73,76,74,68,85,51,77
73,26,75,70,69,49,74,74,69,69,74,75,72,70,72,81,67,67,77,54,64
76,28,76,79,63,58,73,77,47,60,74,83,87,71,67,84,66,63,72,50,71
72,28,72,64,52,64,69,71,63,69,69,75,80,70,68,74,79,63,81,55,71
75,24,81,70,61,65,75,77,48,73,79,67,60,77,81,93,73,72,70,60,70
74,28,74,84,54,66,72,72,77,77,68,81,83,62,83,81,71,77,51,68,66
77,24,81,79,69,37,77,85,71,78,82,76,61,75,82,79,65,77,57,65,44
71,25,76,68,61,51,74,75,70,72,77,69,66,59,77,73,76,72,66,72,63
75,23,80,63,66,61,78,74,63,73,76,74,63,72,68,77,69,61,78,62,73
69,31,69,68,65,67,70,68,75,66,72,63,65,69,77,73,77,75,68,68,60
75,30,75,79,76,75,64,71,52,63,73,70,73,77,81,87,80,76,85,47,56
73,30,73,75,71,74,67,74,57,65,69,81,86,72,78,82,80,69,87,59,49
80,34,80,85,75,59,83,84,74,80,83,71,68,75,80,69,72,77,57,79,37
73,27,76,67,59,70,71,58,44,72,65,79,78,72,70,83,84,61,81,58,73
75,31,75,68,56,65,78,76,68,74,77,53,67,76,72,67,62,70,73,68,72
74,34,74,71,75,64,76,76,74,69,76,73,70,71,77,81,68,74,73,64,39
77,25,81,73,79,76,71,77,55,65,78,72,78,77,78,73,71,72,69,67,46
78,26,81,63,48,76,77,67,59,73,74,80,73,76,63,74,76,56,72,53,81
76,24,82,72,55,55,77,70,65,75,75,68,65,76,69,81,69,67,68,64,76
77,25,82,73,74,53,71,85,69,67,79,93,75,77,85,76,60,76,67,73,40
73,27,73,73,63,66,75,79,52,67,79,76,61,73,58,73,63,61,69,58,68
71,25,76,69,53,70,73,73,64,70,73,72,68,72,72,72,69,67,71,64,72
72,33,72,63,74,60,66,71,63,65,70,91,89,69,70,90,72,68,80,74,50
78,29,78,65,79,81,69,72,64,63,73,68,75,75,83,83,87,70,81,68,46
73,38,73,74,67,70,70,68,55,70,72,68,70,70,69,79,77,69,72,57,73
77,22,84,66,70,69,77,85,42,67,80,92,87,71,68,77,58,59,56,55,48
83,32,83,64,45,81,77,62,59,81,75,55,60,85,78,76,77,58,79,58,87
73,24,80,69,67,50,76,74,55,74,75,70,71,76,75,74,63,70,68,55,67
77,30,77,65,83,77,70,75,58,65,74,80,75,73,75,82,81,69,78,73,45
75,30,75,78,50,61,72,70,55,69,73,75,73,72,78,78,65,67,69,50,72
75,24,80,69,66,62,80,75,65,79,76,73,71,71,68,89,72,69,65,51,64
70,31,70,67,66,59,70,68,70,68,69,72,67,66,75,80,71,73,77,71,68
79,32,79,78,45,60,76,76,49,59,74,88,86,80,78,76,33,68,73,49,77
72,28,72,72,64,54,61,74,71,54,73,89,90,65,78,81,58,70,66,50,62
76,22,82,78,52,69,74,78,44,62,75,78,80,74,78,74,74,64,78,43,74
73,29,73,75,42,41,71,72,74,68,74,70,75,69,73,86,71,69,67,56,70
75,33,75,73,69,69,74,75,45,65,75,82,84,74,73,70,47,67,83,65,46
83,24,88,81,75,43,78,89,64,76,84,94,93,78,83,68,51,76,54,75,30
77,34,77,69,76,67,79,73,70,69,77,82,84,76,82,69,64,73,66,81,33
71,29,71,64,62,70,74,74,58,71,74,63,59,68,78,73,77,69,80,62,73
75,21,83,74,70,48,76,75,73,75,76,71,71,74,72,79,71,75,42,75,67
74,23,80,70,62,62,78,76,56,76,76,71,70,72,77,75,73,74,73,47,71
77,31,77,63,77,54,79,80,59,72,81,84,82,73,74,78,72,76,52,74,35
77,35,77,74,50,54,82,76,76,79,80,40,42,70,77,65,58,74,78,72,78
72,27,73,62,69,67,73,70,51,70,73,76,77,67,69,92,72,65,74,59,68
71,25,75,68,64,58,74,68,63,69,71,72,76,68,68,91,62,66,71,66,69
79,22,85,79,79,60,74,79,73,64,80,84,86,74,83,76,76,76,58,63,38
